,id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
0,11861297,JC473289,2019-10-13T20:30:00.000,077XX S CONSTANCE AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,0414,004,8,43,05,1189882,1853924,2019,2019-10-20T16:03:03.000,41.754205331,-87.579708255,"{'latitude': '41.754205331', 'longitude': '-87.579708255', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
1,11861815,JC474072,2019-10-13T07:00:00.000,021XX N POINT ST,0620,BURGLARY,UNLAWFUL ENTRY,OTHER,False,False,1431,014,1,22,05,1157688,1913645,2019,2019-10-20T16:03:03.000,41.918800033,-87.696065321,"{'latitude': '41.918800033', 'longitude': '-87.696065321', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2,11863704,JC476172,2019-10-11T12:00:00.000,014XX S KARLOV AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,1011,010,24,29,05,1149284,1892780,2019,2019-10-20T15:56:02.000,41.861711455,-87.727483932,"{'latitude': '41.861711455', 'longitude': '-87.727483932', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3,11863982,JC476382,2019-09-23T09:00:00.000,103XX S AVENUE J,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,False,False,0432,004,10,52,05,1202490,1837099,2019,2019-10-20T15:56:02.000,41.707724006,-87.534077677,"{'latitude': '41.707724006', 'longitude': '-87.534077677', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
4,11859210,JC470733,2019-10-13T01:29:00.000,023XX W 95TH ST,0610,BURGLARY,FORCIBLE ENTRY,SMALL RETAIL STORE,False,False,2213,022,19,72,05,1162501,1841587,2019,2019-10-20T16:03:03.000,41.720965046,-87.68039371,"{'latitude': '41.720965046', 'longitude': '-87.68039371', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
5,11861640,JC471471,2019-10-13T11:00:00.000,113XX S AVENUE H,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,0433,004,10,52,05,1202882,1830377,2019,2019-10-20T16:03:03.000,41.689268278,-87.532870977,"{'latitude': '41.689268278', 'longitude': '-87.532870977', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
6,11859399,JC470964,2019-10-13T01:30:00.000,034XX W 26TH ST,0610,BURGLARY,FORCIBLE ENTRY,RESTAURANT,False,False,1032,010,22,30,05,1153687,1886513,2019,2019-10-20T16:03:03.000,41.844427676,-87.71148777,"{'latitude': '41.844427676', 'longitude': '-87.71148777', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7,11679555,JC251018,2019-05-05T16:15:00.000,066XX W CATALPA AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,False,False,1613,016,41,10,05,1130799,1936188,2019,2019-06-04T16:01:14.000,41.981166319,-87.79433883,"{'latitude': '41.981166319', 'longitude': '-87.79433883', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
8,11681826,JC256697,2019-05-06T11:00:00.000,019XX W WAVELAND AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,False,False,1922,019,47,5,05,1162670,1924580,2019,2019-06-04T16:01:14.000,41.948703283,-87.677453607,"{'latitude': '41.948703283', 'longitude': '-87.677453607', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
9,11859909,JC471611,2019-10-13T20:47:00.000,018XX W AUGUSTA BLVD,0620,BURGLARY,UNLAWFUL ENTRY,SIDEWALK,True,False,1212,012,1,24,05,1164097,1906706,2019,2019-10-20T16:03:03.000,41.899625837,-87.672714395,"{'latitude': '41.899625837', 'longitude': '-87.672714395', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
10,11859976,JC471607,2019-10-13T19:00:00.000,028XX E 95TH ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,False,False,0423,004,10,48,05,1196455,1842504,2019,2019-10-20T16:03:03.000,41.722707408,-87.555998842,"{'latitude': '41.722707408', 'longitude': '-87.555998842', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
11,11859407,JC471073,2019-10-13T11:45:00.000,040XX W ROOSEVELT RD,0630,BURGLARY,ATTEMPT FORCIBLE ENTRY,APARTMENT,False,False,1011,010,24,29,05,1149463,1894398,2019,2019-10-20T16:03:03.000,41.866147972,-87.726784885,"{'latitude': '41.866147972', 'longitude': '-87.726784885', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
12,11860197,JC471920,2019-10-13T23:10:00.000,003XX N CLARK ST,0610,BURGLARY,FORCIBLE ENTRY,RESTAURANT,False,False,1831,018,42,8,05,1175472,1902839,2019,2019-10-20T16:03:03.000,41.888766628,-87.63105063,"{'latitude': '41.888766628', 'longitude': '-87.63105063', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13,11715492,JC297256,2019-06-07T16:45:00.000,056XX W LAWRENCE AVE,0610,BURGLARY,FORCIBLE ENTRY,FACTORY / MANUFACTURING BUILDING,False,False,1622,016,45,15,05,1137724,1931348,2019,2020-08-16T15:47:58.000,41.967762535,-87.76898771,"{'latitude': '41.967762535', 'longitude': '-87.76898771', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14,11646785,JC214429,2019-04-06T18:37:00.000,022XX W MAYPOLE AVE,0610,BURGLARY,FORCIBLE ENTRY,STREET,False,False,1223,012,27,28,05,1161304,1900968,2019,2019-06-03T16:14:23.000,41.883938847,-87.683132783,"{'latitude': '41.883938847', 'longitude': '-87.683132783', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
15,11858678,JC470033,2019-10-12T12:24:00.000,022XX W 47TH PL,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,True,False,0931,009,15,61,05,1161989,1873130,2019,2019-10-20T15:56:02.000,41.807534209,-87.6813934,"{'latitude': '41.807534209', 'longitude': '-87.6813934', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
16,11860693,JC472667,2019-10-13T15:00:00.000,057XX S WINCHESTER AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,False,False,0715,007,15,67,05,1164339,1866535,2019,2019-10-20T16:03:03.000,41.789387482,-87.672960064,"{'latitude': '41.789387482', 'longitude': '-87.672960064', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
17,11859819,JC471473,2019-10-13T17:15:00.000,041XX N MELVINA AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,1624,016,38,15,05,1134288,1926638,2019,2019-10-20T16:03:03.000,41.954899237,-87.78173328,"{'latitude': '41.954899237', 'longitude': '-87.78173328', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
18,11860066,JC471165,2019-10-13T01:00:00.000,013XX W MADISON ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,False,False,1224,012,27,28,05,1167260,1900143,2019,2019-10-20T16:03:03.000,41.881549072,-87.661285544,"{'latitude': '41.881549072', 'longitude': '-87.661285544', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
19,11860357,JC472124,2019-10-13T21:00:00.000,053XX S LOOMIS BLVD,0610,BURGLARY,FORCIBLE ENTRY,"SCHOOL, PUBLIC, BUILDING",False,False,0934,009,20,61,05,1167902,1869441,2019,2019-10-20T16:03:03.000,41.797286045,-87.659812184,"{'latitude': '41.797286045', 'longitude': '-87.659812184', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
20,11860845,JC472853,2019-10-13T22:00:00.000,060XX S KARLOV AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,False,False,0813,008,23,65,05,1150069,1864319,2019,2019-10-20T16:03:03.000,41.783595296,-87.725341611,"{'latitude': '41.783595296', 'longitude': '-87.725341611', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
21,11860672,JC472698,2019-10-14T00:00:00.000,027XX W LEXINGTON ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,False,False,1135,011,28,27,05,1158264,1896591,2019,2019-10-21T16:19:28.000,41.871990602,-87.694415638,"{'latitude': '41.871990602', 'longitude': '-87.694415638', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
22,11861457,JC473422,2019-10-14T16:00:00.000,066XX S INGLESIDE AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,False,False,0321,003,5,42,05,1183696,1861269,2019,2019-10-21T16:19:28.000,41.774507187,-87.602148844,"{'latitude': '41.774507187', 'longitude': '-87.602148844', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
