Estimate (copy),Geography1,dynamic bins,legend_MHI,size of bins,Geometry,Latitude (generated),Longitude (generated)
126748.15,Lincoln Park,3,"$59,251 to $126,750",26,Polygon,41.920855978,-87.636259304
125863.428571429,North Center,3,"$59,251 to $126,750",26,Polygon,41.946520001,-87.687518599
122697.5,Forest Glen,3,"$59,251 to $126,750",26,Polygon,41.996188075,-87.765817070
117268.8,Loop,3,"$59,251 to $126,750",26,Polygon,41.881565856,-87.618803231
106119.55,Near North Side,3,"$59,251 to $126,750",26,Polygon,41.897841328,-87.620730896
105746.09375,West Town,3,"$59,251 to $126,750",26,Polygon,41.901076309,-87.672639795
105686.852941176,Lake View,3,"$59,251 to $126,750",26,Polygon,41.944236266,-87.646819740
105197.333333333,Edison Park,3,"$59,251 to $126,750",26,Polygon,42.008431828,-87.815994198
104720.857142857,Beverly,3,"$59,251 to $126,750",26,Polygon,41.712310822,-87.679513794
102751.25,Mount Greenwood,3,"$59,251 to $126,750",26,Polygon,41.695686168,-87.713436235
98397.666666667,Near South Side,3,"$59,251 to $126,750",26,Polygon,41.858795859,-87.612663008
86105.814814815,Logan Square,3,"$59,251 to $126,750",26,Polygon,41.923019580,-87.696584542
84400.428571429,Norwood Park,3,"$59,251 to $126,750",26,Polygon,41.984101207,-87.803780981
83323.454545455,Lincoln Square,3,"$59,251 to $126,750",26,Polygon,41.974306241,-87.694238150
76890.833333333,Jefferson Park,3,"$59,251 to $126,750",26,Polygon,41.984681938,-87.771557765
73318.466666667,Irving Park,3,"$59,251 to $126,750",26,Polygon,41.954344515,-87.716170877
72334.875,Ashburn,3,"$59,251 to $126,750",26,Polygon,41.745105749,-87.707116149
70207.1,Garfield Ridge,3,"$59,251 to $126,750",26,Polygon,41.799946281,-87.768269453
69321.5,Portage Park,3,"$59,251 to $126,750",26,Polygon,41.956371650,-87.768146395
69115.545454545,Dunning,3,"$59,251 to $126,750",26,Polygon,41.947091468,-87.810332738
67412.428571429,Morgan Park,3,"$59,251 to $126,750",26,Polygon,41.688403743,-87.668345138
67206.7,Near West Side,3,"$59,251 to $126,750",26,Polygon,41.877269492,-87.662792474
66700.5,Avondale,3,"$59,251 to $126,750",26,Polygon,41.938779537,-87.704978572
62319.75,West Elsdon,3,"$59,251 to $126,750",26,Polygon,41.792904853,-87.723981677
61596.818181818,Albany Park,3,"$59,251 to $126,750",26,Polygon,41.969352776,-87.718256463
59485.5,North Park,3,"$59,251 to $126,750",26,Polygon,41.980878111,-87.718688355
59011.916666667,Uptown,2,"$42,000 to $59,250",26,Polygon,41.965652015,-87.644902376
58745.454545455,Hyde Park,2,"$42,000 to $59,250",26,Polygon,41.794042667,-87.584828800
58708.571428571,West Ridge,2,"$42,000 to $59,250",26,Polygon,41.999381244,-87.697122669
58602,Clearing,2,"$42,000 to $59,250",26,Polygon,41.779232432,-87.773597517
56493.235294118,Edgewater,2,"$42,000 to $59,250",26,Polygon,41.987750221,-87.657720765
56043.2,Bridgeport,2,"$42,000 to $59,250",26,Polygon,41.835966193,-87.645538998
55751.333333333,Ohare,2,"$42,000 to $59,250",26,MultiPolygon,41.978215817,-87.882963837
55084.818181818,Lower West Side,2,"$42,000 to $59,250",26,Polygon,41.850460585,-87.663973806
54674.833333333,West Lawn,2,"$42,000 to $59,250",26,Polygon,41.770989497,-87.724632440
53768.5,Hegewisch,2,"$42,000 to $59,250",26,Polygon,41.661292219,-87.550531274
53603.142857143,Kenwood,2,"$42,000 to $59,250",26,Polygon,41.809215066,-87.590402980
52427.5,Montclare,2,"$42,000 to $59,250",26,Polygon,41.930836780,-87.799133241
52292.875,Washington Heights,2,"$42,000 to $59,250",26,Polygon,41.719598550,-87.649753567
52020.176470588,Belmont Cragin,2,"$42,000 to $59,250",26,Polygon,41.927727783,-87.766731320
51344.2,Mckinley Park,2,"$42,000 to $59,250",26,Polygon,41.828779764,-87.674113444
50105.6,Archer Heights,2,"$42,000 to $59,250",26,Polygon,41.808975472,-87.725980532
49031.833333333,East Side,2,"$42,000 to $59,250",26,Polygon,41.711157649,-87.529427345
48352.333333333,Hermosa,2,"$42,000 to $59,250",26,Polygon,41.922682892,-87.732999836
46206.5,Avalon Park,2,"$42,000 to $59,250",26,Polygon,41.744165230,-87.587695521
46115.8,Calumet Heights,2,"$42,000 to $59,250",26,Polygon,41.729372244,-87.571220255
