Estimate (copy),Geography1,dynamic bins,legend_bach's+,size of bins,Geometry,Latitude (generated),Longitude (generated)
84.066133721,Lincoln Park,3,38.5% to 84.1%,26,Polygon,41.920855978,-87.636259304
82.186497372,Loop,3,38.5% to 84.1%,26,Polygon,41.881565856,-87.618803231
81.627681555,Near North Side,3,38.5% to 84.1%,26,Polygon,41.897841328,-87.620730896
81.479878273,Lake View,3,38.5% to 84.1%,26,Polygon,41.944236266,-87.646819740
75.789981507,North Center,3,38.5% to 84.1%,26,Polygon,41.946520001,-87.687518599
75.414177843,Hyde Park,3,38.5% to 84.1%,26,Polygon,41.794042667,-87.584828800
74.834532374,Near South Side,3,38.5% to 84.1%,26,Polygon,41.858795859,-87.612663008
70.037409441,West Town,3,38.5% to 84.1%,26,Polygon,41.901076309,-87.672639795
68.735927951,Near West Side,3,38.5% to 84.1%,26,Polygon,41.877269492,-87.662792474
63.856314035,Lincoln Square,3,38.5% to 84.1%,26,Polygon,41.974306241,-87.694238150
58.945429427,Kenwood,3,38.5% to 84.1%,26,Polygon,41.809215066,-87.590402980
57.725554352,Edgewater,3,38.5% to 84.1%,26,Polygon,41.987750221,-87.657720765
57.210926694,Logan Square,3,38.5% to 84.1%,26,Polygon,41.923019580,-87.696584542
57.085522475,Forest Glen,3,38.5% to 84.1%,26,Polygon,41.996188075,-87.765817070
56.314189117,Uptown,3,38.5% to 84.1%,26,Polygon,41.965652015,-87.644902376
54.787835926,Beverly,3,38.5% to 84.1%,26,Polygon,41.712310822,-87.679513794
49.158289936,Edison Park,3,38.5% to 84.1%,26,Polygon,42.008431828,-87.815994198
45.410894207,Rogers Park,3,38.5% to 84.1%,26,Polygon,42.011783040,-87.665802305
44.873397937,North Park,3,38.5% to 84.1%,26,Polygon,41.980878111,-87.718688355
44.367964437,Douglas,3,38.5% to 84.1%,26,Polygon,41.836159039,-87.616128441
40.845107002,Irving Park,3,38.5% to 84.1%,26,Polygon,41.954344515,-87.716170877
40.485512921,Ohare,3,38.5% to 84.1%,26,MultiPolygon,41.978215817,-87.882963837
40.331753555,Mount Greenwood,3,38.5% to 84.1%,26,Polygon,41.695686168,-87.713436235
38.774934799,Norwood Park,3,38.5% to 84.1%,26,Polygon,41.984101207,-87.803780981
38.530576211,Morgan Park,3,38.5% to 84.1%,26,Polygon,41.688403743,-87.668345138
38.418894728,West Ridge,2,17.5% to 38.4%,26,Polygon,41.999381244,-87.697122669
37.581662747,Avondale,2,17.5% to 38.4%,26,Polygon,41.938779537,-87.704978572
36.996825962,Albany Park,2,17.5% to 38.4%,26,Polygon,41.969352776,-87.718256463
36.221767961,Jefferson Park,2,17.5% to 38.4%,26,Polygon,41.984681938,-87.771557765
34.812375422,Lower West Side,2,17.5% to 38.4%,26,Polygon,41.850460585,-87.663973806
33.894098180,Bridgeport,2,17.5% to 38.4%,26,Polygon,41.835966193,-87.645538998
33.549097029,Grand Boulevard,2,17.5% to 38.4%,26,Polygon,41.812305534,-87.619066839
33.149171271,Oakland,2,17.5% to 38.4%,26,Polygon,41.822293773,-87.600267856
32.174314143,Portage Park,2,17.5% to 38.4%,26,Polygon,41.956371650,-87.768146395
28.959276018,Woodlawn,2,17.5% to 38.4%,26,Polygon,41.777904881,-87.584553306
27.801539778,Avalon Park,2,17.5% to 38.4%,26,Polygon,41.744165230,-87.587695521
26.854754441,Calumet Heights,2,17.5% to 38.4%,26,Polygon,41.729372244,-87.571220255
26.854293066,Dunning,2,17.5% to 38.4%,26,Polygon,41.947091468,-87.810332738
25.814901048,Armour Square,2,17.5% to 38.4%,26,Polygon,41.841880413,-87.634157566
25.713711299,Pullman,2,17.5% to 38.4%,26,Polygon,41.704742481,-87.598376212
24.278483739,Washington Heights,2,17.5% to 38.4%,26,Polygon,41.719598550,-87.649753567
23.903488692,Chatham,2,17.5% to 38.4%,26,Polygon,41.739151607,-87.614270686
23.667257683,South Shore,2,17.5% to 38.4%,26,Polygon,41.762865352,-87.559401507
