Estimate (copy),Geography1,legend_unemply,size of bins,Geometry,Latitude (generated),Longitude (generated)
30.417422868,Riverdale,13.1% to 30.4%,26,Polygon,41.661750014,-87.606782616
27.410739387,West Englewood,13.1% to 30.4%,26,Polygon,41.778992960,-87.663497299
25.596832421,Englewood,13.1% to 30.4%,26,Polygon,41.775414952,-87.641820501
24.413145540,Fuller Park,13.1% to 30.4%,26,Polygon,41.809470081,-87.632278783
21.184510251,South Deering,13.1% to 30.4%,26,Polygon,41.693953848,-87.571656353
20.898213408,West Garfield Park,13.1% to 30.4%,26,Polygon,41.876336592,-87.730796007
20.293988591,Roseland,13.1% to 30.4%,26,Polygon,41.710283748,-87.623213937
20.292661932,Greater Grand Crossing,13.1% to 30.4%,26,Polygon,41.765074241,-87.616891961
20.185185185,Washington Park,13.1% to 30.4%,26,Polygon,41.791248598,-87.617785000
20.140280561,Burnside,13.1% to 30.4%,26,Polygon,41.727845752,-87.596489140
19.205710254,Chicago Lawn,13.1% to 30.4%,26,Polygon,41.772874618,-87.700050096
18.404630551,Woodlawn,13.1% to 30.4%,26,Polygon,41.777904881,-87.584553306
18.318831572,West Pullman,13.1% to 30.4%,26,Polygon,41.668747254,-87.637025689
17.077175698,East Garfield Park,13.1% to 30.4%,26,Polygon,41.878431564,-87.705372492
16.593370796,South Shore,13.1% to 30.4%,26,Polygon,41.762865352,-87.559401507
16.409307245,New City,13.1% to 30.4%,26,Polygon,41.808243280,-87.660297730
16.190476190,South Chicago,13.1% to 30.4%,26,Polygon,41.744859328,-87.540386212
16.128871626,Auburn Gresham,13.1% to 30.4%,26,Polygon,41.742894301,-87.654953514
15.855979295,North Lawndale,13.1% to 30.4%,26,Polygon,41.862467303,-87.716263643
15.765182186,Washington Heights,13.1% to 30.4%,26,Polygon,41.719598550,-87.649753567
15.667337357,Chatham,13.1% to 30.4%,26,Polygon,41.739151607,-87.614270686
15.328069698,Oakland,13.1% to 30.4%,26,Polygon,41.822293773,-87.600267856
15.214662315,Pullman,13.1% to 30.4%,26,Polygon,41.704742481,-87.598376212
14.544630720,Avalon Park,13.1% to 30.4%,26,Polygon,41.744165230,-87.587695521
14.071553389,Grand Boulevard,13.1% to 30.4%,26,Polygon,41.812305534,-87.619066839
13.095171331,Gage Park,13.1% to 30.4%,26,Polygon,41.795134220,-87.697921967
13.087248322,Douglas,13.1% to 30.4%,26,Polygon,41.836159039,-87.616128441
12.635207417,Austin,6.1% to 13.0%,26,Polygon,41.896851927,-87.770868543
11.635122557,West Lawn,6.1% to 13.0%,26,Polygon,41.770989497,-87.724632440
11.491419361,East Side,6.1% to 13.0%,26,Polygon,41.711157649,-87.529427345
11.483288429,Humboldt Park,6.1% to 13.0%,26,Polygon,41.901340222,-87.717711753
11.348856723,West Elsdon,6.1% to 13.0%,26,Polygon,41.792904853,-87.723981677
11.078233580,Ashburn,6.1% to 13.0%,26,Polygon,41.745105749,-87.707116149
